title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,trove_id,trove_url
"Temps darménie / Deleuze, Fafchamps, Komitas, Ledoux",2022-2023,"Mekhitarian, Laurence",,https://trove.nla.gov.au/work/259652040,259652040,https://trove.nla.gov.au/work/259652040
The arrival / Aragats,2015,Aragats (Musical group),,http://pennstate.naxosmusiclibrary.com/jazz/catalogue/item.asp?cid=DGCD21096,228644795,https://trove.nla.gov.au/work/228644795
Sans souci / Rusan Filiztek,2021,"Filiztek, Rusan",,https://trove.nla.gov.au/work/257135303,257135303,https://trove.nla.gov.au/work/257135303
Global meditation,1975-1992,,,https://trove.nla.gov.au/work/30835470,30835470,https://trove.nla.gov.au/work/30835470
"The JVC video anthology of world music and dance. Volume 25, Soviet Union III : Azerbaijan, Armenia, Georgia, Dagestan, Russian gypsies / producer, Ichikawa Katsumori (JVC) ; director, Nakagawa Kunihiko (JVC), Ichihashi Yuji (JVC) ; a production of JVC, Victor Company of Japan, Ltd",1989,Nihon Bikutā Kabushiki Kaisha,,https://trove.nla.gov.au/work/264173981,264173981,https://trove.nla.gov.au/work/264173981
New era / Tigran Hamasyan Trio,2009,Tigran Hamasyan Trio,,https://trove.nla.gov.au/work/191654507,191654507,https://trove.nla.gov.au/work/191654507
La musique de la terre vue du ciel : Te amo : musique originale = The music of Earth from above : original music / Armand Amar,2004,"Amar, Armand",,http://libproxy.kcl.ac.uk/login?url=http://KCL.NaxosMusicLibrary.com/catalogue/item.asp?cid=V4994,218057402,https://trove.nla.gov.au/work/218057402
World passion / Tigran Hamasyan,2004-2009,"Hamasyan, Tigran, 1987-",,https://trove.nla.gov.au/work/218368728,218368728,https://trove.nla.gov.au/work/218368728
"Songs from a world apart / Lévon Minassian, Armand Amar",2005,"Minassian, Lévon",,https://trove.nla.gov.au/work/35393821,35393821,https://trove.nla.gov.au/work/35393821
Every day is a new life / music by Arto Tuncboyaciyan,2000,"Tuncboyaci, Arto",,https://trove.nla.gov.au/work/37262345,37262345,https://trove.nla.gov.au/work/37262345
"Istanbul : Ottoman, Arménien & Sépharade / Dimitrie Cantemir",2009,"Dimitrie Cantemir, Voivode of Moldavia, 1673-1723",,https://trove.nla.gov.au/work/36683017,36683017,https://trove.nla.gov.au/work/36683017
"La sublime porte : voix dIstanbul, 1430-1750",2010-2011,Hespèrion XXI (Musical group),,http://www.naxosmusiclibrary.com,161084953,https://trove.nla.gov.au/work/161084953
